Description,Price,Category,Shop Name,Shop Function
Charcoal Maker’s Handbook (Basic Guide), 5 gp,Item,Draconis Charcoal Works,Charcoal Maker
Charcoal Sketching Kit, 1 gp,Item,Draconis Charcoal Works,Charcoal Maker
Charcoal-Fueled Lantern, 2 sp,Item,Draconis Charcoal Works,Charcoal Maker
Enchanted Charcoal (for magical purposes), 10 gp per pound,Item,Draconis Charcoal Works,Charcoal Maker
Moonshadow Ember (Rare Charcoal), 5 gp,Item,Draconis Charcoal Works,Charcoal Maker
Mystical Charcoal Incense Sticks (Set of 5), 1 gp,Item,Draconis Charcoal Works,Charcoal Maker
Wooden Barrow for Charcoal Transportation, 3 sp,Item,Draconis Charcoal Works,Charcoal Maker
Wooden Charcoal Storage Crate, 2 sp,Item,Draconis Charcoal Works,Charcoal Maker
Charcoal Making Workshop, 2 sp per person,Service,Draconis Charcoal Works,Charcoal Maker
Custom Charcoal Order (Special Wood Type), 5 gp per pound,Service,Draconis Charcoal Works,Charcoal Maker
Aged Parmesan wedge, 8 sp,Item,Camelot Creamery,Cheesemaker
Block of Cheddar, 1 sp,Item,Camelot Creamery,Cheesemaker
Blue Cheese Rounds, 2 sp,Item,Camelot Creamery,Cheesemaker
Camembert Wheel, 3 sp,Item,Camelot Creamery,Cheesemaker
Cheese Aging Rack, 2 gp,Item,Camelot Creamery,Cheesemaker
Cheese Basket (for draining), 2 sp,Item,Camelot Creamery,Cheesemaker
Cheese Board (wooden), 1 gp,Item,Camelot Creamery,Cheesemaker
Cheese Cloth (per yard), 5 cp,Item,Camelot Creamery,Cheesemaker
Cheese Knife Set, 2 gp,Item,Camelot Creamery,Cheesemaker
Cheese Press, 5 gp,Item,Camelot Creamery,Cheesemaker
Cheese Sampler Basket, 5 sp,Item,Camelot Creamery,Cheesemaker
Cheese Strainer, 1 sp,Item,Camelot Creamery,Cheesemaker
Cheese Wax (per block), 2 sp,Item,Camelot Creamery,Cheesemaker
Curdling Enzyme Vial, 1 gp,Item,Camelot Creamery,Cheesemaker
Feta in Brine, 1 sp,Item,Camelot Creamery,Cheesemaker
Goat Cheese Log, 2 sp,Item,Camelot Creamery,Cheesemaker
Mozzarella Balls (per dozen), 2 sp,Item,Camelot Creamery,Cheesemaker
Wedge of Common Cheese, 5 cp,Item,Camelot Creamery,Cheesemaker
Wheel of Gouda, 5 sp,Item,Camelot Creamery,Cheesemaker
Wooden Cheese Mold, 2 sp,Item,Camelot Creamery,Cheesemaker
Cheese Pairing Consultation, 5 gp,Service,Camelot Creamery,Cheesemaker
Cheese Party Catering (per person), 2 gp,Service,Camelot Creamery,Cheesemaker
Cheese Tasting Experience (per person), 1 gp,Service,Camelot Creamery,Cheesemaker
Cheese Wheel Engraving (custom messages), 2 gp per wheel,Service,Camelot Creamery,Cheesemaker
Private Cheese-Making Workshop, 10 gp,Service,Camelot Creamery,Cheesemaker
Beeswax (for waterproofing), 5 cp per block,Item,The Sole Smithy,Cobbler
Boots, 2 gp,Item,The Sole Smithy,Cobbler
Common Shoes, 5 sp ,Item,The Sole Smithy,Cobbler
Dancing Shoes (with reinforced soles), 5 gp,Item,The Sole Smithy,Cobbler
Fine Shoes, 2 gp ,Item,The Sole Smithy,Cobbler
Heel Grips, 2 cp per pair,Item,The Sole Smithy,Cobbler
Leather Belt, 5 sp,Item,The Sole Smithy,Cobbler
Leather Gloves, 2 sp per pair,Item,The Sole Smithy,Cobbler
Leather Pouch, 2 sp,Item,The Sole Smithy,Cobbler
Leather Wallet, 1 gp,Item,The Sole Smithy,Cobbler
Neatsfoot Oil (for conditioning leather), 1 sp per vial,Item,The Sole Smithy,Cobbler
Riding Boots, 2 gp,Item,The Sole Smithy,Cobbler
Saddle Soap (for cleaning leather), 2 cp per bar,Item,The Sole Smithy,Cobbler
Shoe Brush, 2 cp,Item,The Sole Smithy,Cobbler
Shoe Horn, 1 cp,Item,The Sole Smithy,Cobbler
Shoe Inserts, 3 cp per pair,Item,The Sole Smithy,Cobbler
Shoe Laces, 1 cp per pair,Item,The Sole Smithy,Cobbler
Shoe Polish, 1 cp per vial,Item,The Sole Smithy,Cobbler
Shoe Trees, 5 sp per pair,Item,The Sole Smithy,Cobbler
Steel-Toed Boots, 3 gp,Item,The Sole Smithy,Cobbler
Traveler’s Boots (waterproofed), 7 gp,Item,The Sole Smithy,Cobbler
Adding Buckles/Straps, 5 sp per pair,Service,The Sole Smithy,Cobbler
Consultation, 1 sp per visit,Service,The Sole Smithy,Cobbler
Decorative Stitching, 2 sp per pair,Service,The Sole Smithy,Cobbler
Embossing/Tooling, 1 gp per pair,Service,The Sole Smithy,Cobbler
Fitting Service, 1 sp per session,Service,The Sole Smithy,Cobbler
Foot Measurement, Free with purchase,Service,The Sole Smithy,Cobbler
Patchwork, 1 sp per patch,Service,The Sole Smithy,Cobbler
Professional Shoe Cleaning, 1 sp per pair,Service,The Sole Smithy,Cobbler
Resoling, 1 sp per shoe,Service,The Sole Smithy,Cobbler
Shoe Shining Service, 2 cp per pair,Service,The Sole Smithy,Cobbler
Stitching Repairs, 2 sp per seam,Service,The Sole Smithy,Cobbler
Waterproofing Treatment, 2 sp per pair,Service,The Sole Smithy,Cobbler
Burial Pillow, 1 gp,Item,Eternal Rest Woodworks,Coffin Maker
Child-sized Coffin, 5 - 15 gp,Item,Eternal Rest Woodworks,Coffin Maker
Customized Coffin, 20 - 50 gp,Item,Eternal Rest Woodworks,Coffin Maker
Fine Coffin, 100 - 200 gp,Item,Eternal Rest Woodworks,Coffin Maker
Funeral Shroud,  1 - 5 gp,Item,Eternal Rest Woodworks,Coffin Maker
Nameplate, 1 - 3 gp,Item,Eternal Rest Woodworks,Coffin Maker
Standard Coffin, 10 gp,Item,Eternal Rest Woodworks,Coffin Maker
Coffin Customization, 5 - 20 gp,Service,Eternal Rest Woodworks,Coffin Maker
Coffin Delivery, 5 - 10 gp.,Service,Eternal Rest Woodworks,Coffin Maker
Coffin Restoration, 10-50 gp,Service,Eternal Rest Woodworks,Coffin Maker
Funeral Services, 20 - 100 gp,Service,Eternal Rest Woodworks,Coffin Maker
Almond Biscuits (per dozen), 4 sp,Item,Bea's Luscious Sweets,Confectioner
Assorted Candies (per pound), 2 sp,Item,Bea's Luscious Sweets,Confectioner
Butter Shortbread (per dozen), 2 sp,Item,Bea's Luscious Sweets,Confectioner
Candied Citrus Peel (per bag), 3 sp,Item,Bea's Luscious Sweets,Confectioner
Candied Nuts (per bag), 2 sp,Item,Bea's Luscious Sweets,Confectioner
Caramel Apples (each), 2 sp,Item,Bea's Luscious Sweets,Confectioner
Chocolate Truffles (per box of 6), 1 gp,Item,Bea's Luscious Sweets,Confectioner
Chocolate-Dipped Strawberries (per dozen), 5 sp,Item,Bea's Luscious Sweets,Confectioner
Cream-filled Pastries (each), 2 sp,Item,Bea's Luscious Sweets,Confectioner
Frosted Cupcakes (per dozen), 4 sp,Item,Bea's Luscious Sweets,Confectioner
Fruit Gelatin Cubes (per dozen), 3 sp,Item,Bea's Luscious Sweets,Confectioner
Fruit Tarts (each), 1 sp,Item,Bea's Luscious Sweets,Confectioner
Gingerbread Cookies (per dozen), 3 sp,Item,Bea's Luscious Sweets,Confectioner
Honey Cakes (each), 2 sp,Item,Bea's Luscious Sweets,Confectioner
Jelly Beans (per pound), 3 sp,Item,Bea's Luscious Sweets,Confectioner
Marshmallow Swirls (per bag), 2 sp,Item,Bea's Luscious Sweets,Confectioner
Marzipan Fruits (per dozen), 5 sp,Item,Bea's Luscious Sweets,Confectioner
Nougat Bars (each), 1 sp,Item,Bea's Luscious Sweets,Confectioner
Rock Candy Sticks (each), 1 sp,Item,Bea's Luscious Sweets,Confectioner
Sugar Sculptures (each), 5 gp,Item,Bea's Luscious Sweets,Confectioner
Custom Cake Plus Decorating, 2+ gp per cake,Service,Bea's Luscious Sweets,Confectioner
Custom Confectionary Gift Baskets, 5+ gp ,Service,Bea's Luscious Sweets,Confectioner
Special Occasion Catering, 20+ gp ,Service,Bea's Luscious Sweets,Confectioner
Belt Buckle, 2 sp,Item,The Copper Cauldrop,Coppersmith
Bracelet (simple design), 1 sp,Item,The Copper Cauldrop,Coppersmith
Candle Holder (set of two), 1 sp,Item,The Copper Cauldrop,Coppersmith
Cauldron (medium-sized), 5 gp,Item,The Copper Cauldrop,Coppersmith
"Cookware Set (pot, pan, and kettle)", 2 gp,Item,The Copper Cauldrop,Coppersmith
Decorative Plate (for display), 2 gp,Item,The Copper Cauldrop,Coppersmith
Door Knocker, 3 sp,Item,The Copper Cauldrop,Coppersmith
Hairpin or Hair Comb, 3 cp,Item,The Copper Cauldrop,Coppersmith
Incense Burner, 3 sp,Item,The Copper Cauldrop,Coppersmith
Inkwell and Quill Holder, 2 sp,Item,The Copper Cauldrop,Coppersmith
Jewelry Box, 8 sp,Item,The Copper Cauldrop,Coppersmith
Pendant (with a simple engraving), 2 sp,Item,The Copper Cauldrop,Coppersmith
Picture Frame, 4 sp,Item,The Copper Cauldrop,Coppersmith
Pitcher (for serving drinks), 5 sp,Item,The Copper Cauldrop,Coppersmith
Ring (plain band), 5 sp,Item,The Copper Cauldrop,Coppersmith
Serving Tray, 3 sp,Item,The Copper Cauldrop,Coppersmith
Statuette or Figurine, 5 sp,Item,The Copper Cauldrop,Coppersmith
Tankard (for ale or mead), 5 cp,Item,The Copper Cauldrop,Coppersmith
"Utensil Set (forks, spoons, and knives)", 1 gp,Item,The Copper Cauldrop,Coppersmith
Custom Copper Cookware Set, 10 gp plus the cost of materials,Service,The Copper Cauldrop,Coppersmith
Polishing and Cleaning of Copper Items, 5 cp per item,Service,The Copper Cauldrop,Coppersmith
Repair of Damaged Copper Items, 1 sp per point of damage repaired,Service,The Copper Cauldrop,Coppersmith
Basic Cloak, 1 gp,Item,Silk and Satin Needlework,Dress Maker
Common Blouse, 1 gp,Item,Silk and Satin Needlework,Dress Maker
Common Dress, 3 gp,Item,Silk and Satin Needlework,Dress Maker
Common Pants or Skirt, 2 gp,Item,Silk and Satin Needlework,Dress Maker
Common Tunic, 2 gp,Item,Silk and Satin Needlework,Dress Maker
Elaborate Costume, 25 gp,Item,Silk and Satin Needlework,Dress Maker
Embroidered Cape, 15 gp,Item,Silk and Satin Needlework,Dress Maker
Feathered Hat, 3 gp,Item,Silk and Satin Needlework,Dress Maker
Fine Blouse, 4 gp,Item,Silk and Satin Needlework,Dress Maker
Fine Dress, 8 gp,Item,Silk and Satin Needlework,Dress Maker
Fine Pants or Skirt, 5 gp,Item,Silk and Satin Needlework,Dress Maker
Fine Tunic, 5 gp,Item,Silk and Satin Needlework,Dress Maker
Hooded Cloak, 3 gp,Item,Silk and Satin Needlework,Dress Maker
Leather Belt, 1 gp,Item,Silk and Satin Needlework,Dress Maker
Linen, 2 gp per yard,Item,Silk and Satin Needlework,Dress Maker
Noble Gown, 25 gp,Item,Silk and Satin Needlework,Dress Maker
Silk Scarf, 2 gp,Item,Silk and Satin Needlework,Dress Maker
Silk, 5 gp per yard,Item,Silk and Satin Needlework,Dress Maker
Simple Costume, 10 gp,Item,Silk and Satin Needlework,Dress Maker
Simple Dress, 5 sp,Item,Silk and Satin Needlework,Dress Maker
Simple Pants or Skirt, 1 gp,Item,Silk and Satin Needlework,Dress Maker
Simple Shirt, 8 sp,Item,Silk and Satin Needlework,Dress Maker
Simple Tunic, 1 gp,Item,Silk and Satin Needlework,Dress Maker
Wool, 1 gp per yard,Item,Silk and Satin Needlework,Dress Maker
Basic Cleaning and Pressing, 3 – 15 sp,Service,Silk and Satin Needlework,Dress Maker
Basic Color Dye, 1 gp,Service,Silk and Satin Needlework,Dress Maker
Custom Color Dye, 3 gp,Service,Silk and Satin Needlework,Dress Maker
Delicate Fabrics Cleaning and Pressing, 3 gp,Service,Silk and Satin Needlework,Dress Maker
Hemming, 5 sp,Service,Silk and Satin Needlework,Dress Maker
Intricate Embroidered Design, 10 gp,Service,Silk and Satin Needlework,Dress Maker
Medium Embroidered Design, 4 gp,Service,Silk and Satin Needlework,Dress Maker
Small Embroidered Design, 1 gp,Service,Silk and Satin Needlework,Dress Maker
Alum (basic mordant), 2 sp per ounce,Item,The Crimson Cauldron,Dyer
Cochineal (crimson dye), 2 gp per ounce,Item,The Crimson Cauldron,Dyer
Cream of Tartar (brightening agent), 2 gp per ounce,Item,The Crimson Cauldron,Dyer
Drying Racks, 1 - 5 gp,Item,The Crimson Cauldron,Dyer
Dye pots (various sizes), 2 gp to 10 gp,Item,The Crimson Cauldron,Dyer
Exotic Fabric (per yard), 5 sp to 2 gp,Item,The Crimson Cauldron,Dyer
Indigo (blue dye), 1 gp per ounce,Item,The Crimson Cauldron,Dyer
Iron Sulfate (saddening agent), 1 gp per ounce,Item,The Crimson Cauldron,Dyer
Madder Root (red dye), 5 sp per ounce,Item,The Crimson Cauldron,Dyer
Patterned Fabric (per yard), 2 sp to 1 gp,Item,The Crimson Cauldron,Dyer
Plain Fabric (per yard), 1 sp,Item,The Crimson Cauldron,Dyer
Stirring Sticks, 1 sp each,Item,The Crimson Cauldron,Dyer
Straining Cloth, 5 sp each,Item,The Crimson Cauldron,Dyer
Tannin (softening agent), 5 sp per ounce,Item,The Crimson Cauldron,Dyer
Weld (yellow dye), 2 sp per ounce,Item,The Crimson Cauldron,Dyer
Woad (blue dye), 5 sp per ounce,Item,The Crimson Cauldron,Dyer
Color consultation (advice on color combinations and dye choices), 1 gp,Service,The Crimson Cauldron,Dyer
"Complex dye job (multiple colors, patterns, or effects)", 1 - 5 gp,Service,The Crimson Cauldron,Dyer
Custom dye job (specific colors or designs), 5 - 10 gp,Service,The Crimson Cauldron,Dyer
Design consultation (assistance with creating custom dye patterns), 5 gp,Service,The Crimson Cauldron,Dyer
Simple dye job (one color), 5 sp,Service,The Crimson Cauldron,Dyer
Custom Engraving on Jewelry, 1 - 20 sp,Item,Ironquill Etchings,Engraver
Decorative Stone Tablet, 1 - 10 gp,Item,Ironquill Etchings,Engraver
Engraved Tankard or Goblet, 1 - 5 gp,Item,Ironquill Etchings,Engraver
Engraved Wooden Sign for Businesses,3 - 20 gp,Item,Ironquill Etchings,Engraver
Metal Plaque with Inscription, 1 - 30 gp,Item,Ironquill Etchings,Engraver
Personalized Family Crest Engraving,10 - 50 gp,Item,Ironquill Etchings,Engraver
Religious Symbol, 5 – 20 gp,Item,Ironquill Etchings,Engraver
Weapon or Armor Engravings, 5 - 50 gp,Item,Ironquill Etchings,Engraver
Custom Design Consultation, 5 gp ,Service,Ironquill Etchings,Engraver
Engraving Repair Services, 1 - 20 gp,Service,Ironquill Etchings,Engraver
Material Selection Assistance, 5 sp ,Service,Ironquill Etchings,Engraver
Rush Order Fee, 2 - 10 gp,Service,Ironquill Etchings,Engraver
Custom Fitted Hood, 8 gp,Item,Skyward Soars,Falconer
Falconer’s Journal, 2 gp,Item,Skyward Soars,Falconer
Falconry Bells (Set of 3), 2 gp,Item,Skyward Soars,Falconer
Leather Falconer’s Glove, 5 gp,Item,Skyward Soars,Falconer
Lure and Creance Set, 10 gp,Item,Skyward Soars,Falconer
Portable Mews, 20 gp,Item,Skyward Soars,Falconer
Set of Jesses and Anklets, 2 gp,Item,Skyward Soars,Falconer
Training Whistle, 3 gp,Item,Skyward Soars,Falconer
Wooden Perch or Block, 5 sp,Item,Skyward Soars,Falconer
Advanced Training Program, 5 gp,Service,Skyward Soars,Falconer
Basic Training Session, 2 gp,Service,Skyward Soars,Falconer
Bird Health Checkup, 2 gp,Service,Skyward Soars,Falconer
Custom Equipment Crafting, 10 gp and up,Service,Skyward Soars,Falconer
Falconry Consultation, 10 gp,Service,Skyward Soars,Falconer
Breeches, Starting at 1 gp per pair,Item,Stallion Smithery,Farrier
Bridles, Starting at 5 gp per item,Item,Stallion Smithery,Farrier
Gloves, Starting at 5 sp per pair,Item,Stallion Smithery,Farrier
Grooming Brushes, 1 sp per brush,Item,Stallion Smithery,Farrier
Harnesses, Starting at 5 gp per item,Item,Stallion Smithery,Farrier
Healing Salves, 5 sp per jar,Item,Stallion Smithery,Farrier
Horseshoes, 2 sp each.,Item,Stallion Smithery,Farrier
Reins, Starting at 2 gp per item,Item,Stallion Smithery,Farrier
Riding Boots, Starting at 1 gp per pair,Item,Stallion Smithery,Farrier
Saddles, Starting at 10 gp per item,Item,Stallion Smithery,Farrier
Specialty Horseshoes," 2+ gp each, depending on enhancements",Item,Stallion Smithery,Farrier
Hoof Maintenance, 5 sp per hoof,Service,Stallion Smithery,Farrier
Hoof Repair, 2 sp per hoof,Service,Stallion Smithery,Farrier
Hoof Trimming, 1 sp per hoof,Service,Stallion Smithery,Farrier
Horseshoe Fitting, 5 sp per hoof,Service,Stallion Smithery,Farrier
Lameness Evaluation, 5 gp ,Service,Stallion Smithery,Farrier
"Arrow Poison (vial, enough for 10 arrows)", 10 - 50 gp,Item,Bowstring & Birch Arrows,Fletcher
"Arrow Repair Kit (Feathers, Glue, and Shaft)", 1 gp,Item,Bowstring & Birch Arrows,Fletcher
Arrowheads (Set of 20), 2 sp,Item,Bowstring & Birch Arrows,Fletcher
Arrows (Set of 20), 1 gp,Item,Bowstring & Birch Arrows,Fletcher
Bowstring, 1 sp,Item,Bowstring & Birch Arrows,Fletcher
Bowyer’s Wax, 2 sp,Item,Bowstring & Birch Arrows,Fletcher
"Bundle of 5 Special Arrows (e.g., silvered, cold iron)", 2 gp,Item,Bowstring & Birch Arrows,Fletcher
Crossbow Bolts (Set of 20), 1 gp,Item,Bowstring & Birch Arrows,Fletcher
Custom Grip Wrapping for Bows, 1 gp,Item,Bowstring & Birch Arrows,Fletcher
Decorative Arrow Set (for display), 5 gp,Item,Bowstring & Birch Arrows,Fletcher
Enchanted Arrow, 10 – 50+ gp ,Item,Bowstring & Birch Arrows,Fletcher
Fletcher’s Tool Kit, 5 gp,Item,Bowstring & Birch Arrows,Fletcher
Fletching Dye Kit, 3 gp,Item,Bowstring & Birch Arrows,Fletcher
Leather Arm Guard, 5 sp,Item,Bowstring & Birch Arrows,Fletcher
Masterwork Bow," 100 gp (higher quality, grants +1 to attack rolls to a skilled archer)",Item,Bowstring & Birch Arrows,Fletcher
Portable Target Stand, 5 gp,Item,Bowstring & Birch Arrows,Fletcher
Quick-Draw Quiver (speeds up arrow retrieval), 15 gp,Item,Bowstring & Birch Arrows,Fletcher
Quiver of Holding + 200 arrows, 200 gp,Item,Bowstring & Birch Arrows,Fletcher
Quiver, 1 gp,Item,Bowstring & Birch Arrows,Fletcher
Recurve Bow, 50 gp,Item,Bowstring & Birch Arrows,Fletcher
Specialty Arrow Tips (for poison), 5 gp each,Item,Bowstring & Birch Arrows,Fletcher
Stabilizing Brace, 10 gp,Item,Bowstring & Birch Arrows,Fletcher
Arrow Fletching (per arrow), 1 sp,Service,Bowstring & Birch Arrows,Fletcher
Arrowhead Poisoning Service (per arrow), 5 gp,Service,Bowstring & Birch Arrows,Fletcher
Arrowhead Sharpening (per arrow), 2 cp,Service,Bowstring & Birch Arrows,Fletcher
"Bow Customization (engravings, patterns)", 15 gp,Service,Bowstring & Birch Arrows,Fletcher
Bow Identification Service (for magical bows), 20 gp,Service,Bowstring & Birch Arrows,Fletcher
Bow Repair, 2 gp (plus the cost of any materials needed),Service,Bowstring & Birch Arrows,Fletcher
Bow Re-stringing and Tuning, 1 gp,Service,Bowstring & Birch Arrows,Fletcher
Bowstring Replacement, 5 sp,Service,Bowstring & Birch Arrows,Fletcher
Bowyer’s Consultation (advice on selecting a bow), 2 gp,Service,Bowstring & Birch Arrows,Fletcher
Custom Arrow Crafting (per arrow)," 2 sp to 5 gp, depending on complexity and materials.",Service,Bowstring & Birch Arrows,Fletcher
Custom Quiver Design," 2 – 20 gp, depending on intricacy.",Service,Bowstring & Birch Arrows,Fletcher
Fletching Masterclass (intensive arrow crafting workshop), 50 gp,Service,Bowstring & Birch Arrows,Fletcher
Astrology Chart Reading, 15 gp,Service,Mystic Moon Divinations,Fortune Teller
Aura Reading, 5 gp,Service,Mystic Moon Divinations,Fortune Teller
Crystal Ball Scrying Session, 10 gp,Service,Mystic Moon Divinations,Fortune Teller
Dream Interpretation, 5 gp,Service,Mystic Moon Divinations,Fortune Teller
Palmistry Reading, 3 gp,Service,Mystic Moon Divinations,Fortune Teller
Rune Casting Consultation, 10 gp,Service,Mystic Moon Divinations,Fortune Teller
Tarot Card Reading, 5 gp,Service,Mystic Moon Divinations,Fortune Teller
Tea Leaf Reading, 2 gp,Service,Mystic Moon Divinations,Fortune Teller
Candle Holders, 2 sp each,Item,Dragonfire Glassworks,Glass Blower
Drinking Glass Set, 3 sp,Item,Dragonfire Glassworks,Glass Blower
Glass Beads, 1 cp per bead,Item,Dragonfire Glassworks,Glass Blower
Glass Buttons, 5 cp each,Item,Dragonfire Glassworks,Glass Blower
Glass Chess Set, 20 gp,Item,Dragonfire Glassworks,Glass Blower
Glass Figurines,1 gp,Item,Dragonfire Glassworks,Glass Blower
Glass Flask, 2 sp,Item,Dragonfire Glassworks,Glass Blower
Glass Napkin Rings, 1 gp per set,Item,Dragonfire Glassworks,Glass Blower
Glass Prism, 10 gp,Item,Dragonfire Glassworks,Glass Blower
Glass Quill and Ink Set, 10 gp,Item,Dragonfire Glassworks,Glass Blower
Glass Storage Jars, 5 sp each,Item,Dragonfire Glassworks,Glass Blower
Mirrored Compact, 15 gp,Item,Dragonfire Glassworks,Glass Blower
Molten Glass Sculpture, 10 - 75 gp,Item,Dragonfire Glassworks,Glass Blower
Oil Lamp, 5 sp,Item,Dragonfire Glassworks,Glass Blower
Ornamental Glass Egg, 2 gp,Item,Dragonfire Glassworks,Glass Blower
Perfume Bottle, 5 sp,Item,Dragonfire Glassworks,Glass Blower
Stained Glass Sun Catcher, 5 gp,Item,Dragonfire Glassworks,Glass Blower
Wine Decanter, 15 gp,Item,Dragonfire Glassworks,Glass Blower
Custom Glassware Commission,  5 gp and up,Service,Dragonfire Glassworks,Glass Blower
Glass Repair Services, 1 gp and up,Service,Dragonfire Glassworks,Glass Blower
Stained Glass Window Design, 50 gp and up,Service,Dragonfire Glassworks,Glass Blower
Citrine-studded Cufflinks, 15 gp,Item,Gossamer Goldworks,Goldsmith
Copper Brooch, 2 gp ,Item,Gossamer Goldworks,Goldsmith
Emerald Signet Ring, 60 gp,Item,Gossamer Goldworks,Goldsmith
Filigree Belt Buckle, 8 gp,Item,Gossamer Goldworks,Goldsmith
Fine Gold Chain, 20 gp,Item,Gossamer Goldworks,Goldsmith
Garnet-encrusted Circlet, 55 gp,Item,Gossamer Goldworks,Goldsmith
Gemstone Stud Earrings, 25 gp per pair,Item,Gossamer Goldworks,Goldsmith
Gilded Quill Set, 16 gp,Item,Gossamer Goldworks,Goldsmith
Gold and Silver Plated Tankard, 5 gp,Item,Gossamer Goldworks,Goldsmith
Gold Plated Hair Comb with Moonstone Inlay, 20 gp,Item,Gossamer Goldworks,Goldsmith
Gold Ring, 5 gp ,Item,Gossamer Goldworks,Goldsmith
Gold-leafed Mirror, 30 gp,Item,Gossamer Goldworks,Goldsmith
Gold-plated Dagger Hilt, 12 gp,Item,Gossamer Goldworks,Goldsmith
Intricate Hairpin Set, 10 gp,Item,Gossamer Goldworks,Goldsmith
Jade Brooch in the Shape of a Dragonfly, 25 gp,Item,Gossamer Goldworks,Goldsmith
Jewelry Box, 25 gp,Item,Gossamer Goldworks,Goldsmith
Opal-studded Ankle Bracelet, 35 gp,Item,Gossamer Goldworks,Goldsmith
Pearl Pendant, 40 gp,Item,Gossamer Goldworks,Goldsmith
Polished Agate Pendant, 30 gp ,Item,Gossamer Goldworks,Goldsmith
Rose Gold Locket with Hidden Compartment, 70 gp,Item,Gossamer Goldworks,Goldsmith
Sapphire-studded Tiara, 75 gp,Item,Gossamer Goldworks,Goldsmith
Sardonyx-studded Inkwell, 22 gp,Item,Gossamer Goldworks,Goldsmith
Silver Filigree Scepter, 50 gp,Item,Gossamer Goldworks,Goldsmith
Silver Lockets, 10 gp ,Item,Gossamer Goldworks,Goldsmith
Silver Necklace, 10 gp,Item,Gossamer Goldworks,Goldsmith
Appraisal Services, 10 gp ,Service,Gossamer Goldworks,Goldsmith
Cleaning & Polishing, 5 sp,Service,Gossamer Goldworks,Goldsmith
Custom Guild Insignia Design, 30 gp,Service,Gossamer Goldworks,Goldsmith
Custom Jewelry Design, 10+ gp,Service,Gossamer Goldworks,Goldsmith
Engraving, 1 - 10 gp ,Service,Gossamer Goldworks,Goldsmith
Gold Leafing, 15+ gp ,Service,Gossamer Goldworks,Goldsmith
Jewelry Repair, 5+ gp,Service,Gossamer Goldworks,Goldsmith
Climbing Rope, 1 gp,Item,Battleborn Fitness,Gymnasium
Iron Kettlebell, 2 gp,Item,Battleborn Fitness,Gymnasium
Leather Training Gloves, 1 sp,Item,Battleborn Fitness,Gymnasium
Leather Weightlifting Belt, 5 sp,Item,Battleborn Fitness,Gymnasium
Martial Arts Gi, 10 sp,Item,Battleborn Fitness,Gymnasium
Pummel Horse, 20 gp,Item,Battleborn Fitness,Gymnasium
Weighted Sandbag, 5 sp,Item,Battleborn Fitness,Gymnasium
Wooden Practice Sword, 2 sp,Item,Battleborn Fitness,Gymnasium
Wooden Shield (Practice), 5 sp,Item,Battleborn Fitness,Gymnasium
Wooden Training Dummy, 10 sp,Item,Battleborn Fitness,Gymnasium
Group Training Class (per session), 2 gp,Service,Battleborn Fitness,Gymnasium
Massage Therapy (30 minutes), 2 gp,Service,Battleborn Fitness,Gymnasium
Personal Training Session (1 hour), 5 gp,Service,Battleborn Fitness,Gymnasium
Steam Room Session (1 hour), 5 sp,Service,Battleborn Fitness,Gymnasium
Assorted Hatpins (set of 5), 1 gp,Item,Regal Crowns Hat Emporium,Hatter
Decorative Hatbox, 5 gp,Item,Regal Crowns Hat Emporium,Hatter
Elegant Fedora, 5 gp,Item,Regal Crowns Hat Emporium,Hatter
Embroidered Cloak with Brooch, 15 gp,Item,Regal Crowns Hat Emporium,Hatter
Enchanted Velvet Top Hat, 30 gp,Item,Regal Crowns Hat Emporium,Hatter
Fashion Sketchbook, 4 gp,Item,Regal Crowns Hat Emporium,Hatter
Feathered Tricorn Hat, 10 gp,Item,Regal Crowns Hat Emporium,Hatter
Fine Leather Gloves, 8 gp,Item,Regal Crowns Hat Emporium,Hatter
Hat-Friendly Hairpin Set, 4 gp,Item,Regal Crowns Hat Emporium,Hatter
Lace Ribbon Bundle, 2 gp,Item,Regal Crowns Hat Emporium,Hatter
Lucky Charm Bracelet, 6 gp,Item,Regal Crowns Hat Emporium,Hatter
Mannequin Stand for Hat Display, 20 gp,Item,Regal Crowns Hat Emporium,Hatter
Masquerade Mask Paint Kit (assorted colors), 5 gp,Item,Regal Crowns Hat Emporium,Hatter
Ornate Handheld Mirror, 3 gp,Item,Regal Crowns Hat Emporium,Hatter
Quill with Feather Accent, 1 gp,Item,Regal Crowns Hat Emporium,Hatter
Sandalwood Hair Comb, 2 gp,Item,Regal Crowns Hat Emporium,Hatter
Silk Scarf with Embroidery, 3 gp,Item,Regal Crowns Hat Emporium,Hatter
Simple Cap, 2 gp,Item,Regal Crowns Hat Emporium,Hatter
Tabletop Vanity Mirror with Stand, 6 gp,Item,Regal Crowns Hat Emporium,Hatter
Custom Hat Fitting, 3 gp,Service,Regal Crowns Hat Emporium,Hatter
Hat Cleaning and Restoration, 5 gp,Service,Regal Crowns Hat Emporium,Hatter
Hat Repair (per hat), 2 gp,Service,Regal Crowns Hat Emporium,Hatter
Historical Hat Research Service, 5 gp,Service,Regal Crowns Hat Emporium,Hatter
Personalized Hat Design Consultation, 10 gp,Service,Regal Crowns Hat Emporium,Hatter
Brass Astrolabe, 25 - 100 gp,Item,Timekeeper's Haven,Horologist
Celestial Map, 2 - 10 gp,Item,Timekeeper's Haven,Horologist
